"序号

","系列


","SAP编号
","名称
",规格型号,"单位
","数量
数量",销售单价（不含税）,采购价（不含税）,采购价利润率,项目价（不含税）,项目价利润率,一个月账期价格,一个月账期价格利润率
1,Pipa JIS/pvc管材,8010012683,PVC冷水管（AW给水）,"1/2"" SC、DN16",4m/根,1,"Rp15,327",12174,26%,15257,20%,13462,10%
2,Pipa JIS/pvc管材,8010012684,PVC冷水管（AW给水）,"3/4"" SC、DN20",4m/根,1,"Rp20,710",16546,25%,20737,20%,18298,10%
3,Pipa JIS/pvc管材,8010012691,PVC冷水管（AW给水）,"1"" SC、DN25",4m/根,1,"Rp28,310",22618,25%,28348,20%,25013,10%
4,Pipa JIS/pvc管材,8010012692,PVC冷水管（AW给水）,"1 1/4"" SC、 DN35",4m/根,1,"Rp42,307",38515,10%,48947,21%,43188,11%
5,Pipa JIS/pvc管材,8010012693,PVC冷水管（AW给水）,"1 1/2"" SC、 DN40",4m/根,1,"Rp48,577",38584,26%,48357,20%,42668,10%
6,Pipa JIS/pvc管材,8010012694,PVC冷水管（AW给水）,"2"" SC 、DN50",4m/根,1,"Rp62,067",49588,25%,62151,20%,54839,10%
7,Pipa JIS/pvc管材,8010012695,PVC冷水管（AW给水）,"2 1/2"" SC 、DN65",4m/根,1,"Rp90,440",82335,10%,104635,21%,92325,11%
8,Pipa JIS/pvc管材,8010012696,PVC冷水管（AW给水）,"3"" SC 、DN75",4m/根,1,"Rp127,427",101807,25%,127599,20%,112587,10%
9,Pipa JIS/pvc管材,8010012697,PVC冷水管（AW给水）,"4"" SC、 DN100",4m/根,1,"Rp211,027",168600,25%,211312,20%,186452,10%
10,Pipa JIS/pvc管材,8010013700,PVC冷水管（AW给水）,"5"" SC、 DN125",4m/根,1,"Rp334,337",304375,10%,386809,21%,341302,11%
11,Pipa JIS/pvc管材,8010012698,PVC冷水管（AW给水）,"6"" SC 、DN150",4m/根,1,"Rp468,857",374593,25%,469489,20%,414255,10%
12,Pipa JIS/pvc管材,8010013701,PVC冷水管（AW给水）,"8"" SC 、DN200",4m/根,1,"Rp786,600",716108,10%,910055,21%,802989,11%
13,Pipa JIS/pvc管材,8010013702,PVC冷水管（AW给水）,"10"" SC 、DN250",4m/根,1,"Rp1,216,000",1107027,10%,1406847,21%,1241335,11%
14,Pipa JIS/pvc管材,8010013703,PVC冷水管（AW给水）,"12"" SC、 DN300",4m/根,1,"Rp1,716,333",1251748,37%,1590763,21%,1403614,11%
15,Pipa JIS/pvc管材,8020012377,PVC热水管（D排水),"1 1/4"" SC、 DN35",4m/根,1,"Rp26,537",21077,26%,26417,20%,23309,10%
16,Pipa JIS/pvc管材,8020012378,PVC热水管（D排水),"1 1/2"" SC、 DN40",4m/根,1,"Rp30,020",23845,26%,29885,20%,26369,10%
17,Pipa JIS/pvc管材,8020012379,PVC热水管（D排水),"2"" SC 、DN50",4m/根,1,"Rp38,507",30765,25%,38559,20%,34022,10%
